Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.072,6.091
2,Rice,1.853,5.951
3,Rice,2.068,5.929
4,Rice,2.202,6.266
5,Rice,1.964,6.001
6,Rice,1.763,6.022
7,Rice,1.63,5.567
8,Rice,1.892,5.872
9,Rice,2.052,5.511
10,Rice,1.947,6.138
11,Rice,1.813,5.953
12,Rice,1.967,5.73
13,Rice,1.873,6.01
14,Rice,1.75,5.466
15,Rice,1.952,6.17
16,Rice,2.176,6.073
17,Rice,1.968,6.078
18,Rice,1.988,5.936
19,Rice,2.054,5.948
20,Rice,1.996,5.665
21,Rice,2.003,5.956
22,Rice,1.986,6.033
23,Rice,2.104,6.039
24,Rice,1.764,6.019
25,Rice,1.958,6.073
26,Rice,1.881,6.044
27,Rice,1.839,6.116
28,Rice,1.903,6.019
29,Rice,1.692,6.099
30,Rice,1.916,6.256
31,Rice,1.825,5.921
32,Rice,2.086,6.282
33,Rice,2.103,5.49
34,Rice,2.136,6.215
35,Rice,2.127,6.006
36,Rice,2.011,5.863
37,Rice,2.033,5.694
38,Rice,2.008,5.974
39,Rice,2.717,6.089
40,Rice,1.964,5.617
41,Rice,2.06,6.102
42,Rice,1.816,6.085
43,Rice,1.994,5.829
44,Rice,2.01,5.742
45,Rice,1.778,5.44
46,Rice,1.947,5.862
47,Rice,1.909,5.33
48,Rice,1.943,6.069
1,Inferior,1.961,5.732
49,Rice,1.981,5.513
1,Break,1.571,1.903
50,Rice,1.899,5.844
51,Rice,2.032,6.259
52,Rice,2.046,5.436
53,Rice,1.999,4.931
2,Break,1.884,3.133
54,Rice,1.913,5.741
3,Break,1.945,2.925
55,Rice,1.887,6.032
56,Rice,1.975,5.817
4,Break,2.021,4.496
5,Break,1.693,4.445
6,Break,1.939,3.981
