Hạt gạo,Loại,Chiều rộng (mm),Chiều dài (mm)
1,Rice,2.226,7.695
2,Rice,2.059,7.175
3,Rice,2.36,7.392
4,Rice,2.385,7.356
5,Rice,2.11,7.241
6,Rice,2.245,7.484
7,Rice,2.133,7.544
8,Rice,2.342,7.545
9,Rice,2.286,7.473
10,Rice,2.224,7.082
11,Rice,2.155,7.384
12,Rice,2.313,7.472
13,Rice,2.214,6.977
14,Rice,2.315,7.328
15,Rice,1.894,6.771
1,Break,2.148,2.995
16,Rice,2.311,7.215
17,Rice,2.281,7.509
18,Rice,2.269,7.435
19,Rice,2.277,7.146
20,Rice,2.241,6.947
1,Inferior,2.384,6.896
21,Rice,2.294,7.503
22,Rice,2.049,7.355
23,Rice,2.289,7.306
24,Rice,2.264,6.869
2,Break,2.2,4.367
3,Break,2.3,2.982
25,Rice,2.101,6.724
4,Break,2.157,3.755
2,Inferior,1.705,6.215
26,Rice,2.244,7.387
5,Break,2.184,3.123
27,Rice,1.92,7.187
3,Inferior,2.369,7.041
6,Break,2.418,3.963
7,Break,2.204,4.637
4,Inferior,0.891,2.807
5,Inferior,2.095,7.133
28,Rice,2.09,7.241
29,Rice,2.23,7.51
6,Inferior,2.311,7.043
30,Rice,2.334,7.081
